cool_time,cat_time,post_cooling_nbar,cat_visibility_sq,qfi_reduced,qfi_per_total_prep_time
0.0,0.1,10.0,0.9989978358355941,0.35031584420988554,3.5031584420988553
0.0,0.2,10.0,0.9979807081851274,0.8291838437146721,4.14591921857336
0.0,0.30000000000000004,10.0,0.9969327137638704,1.6260592982961641,5.420197660987213
0.0,0.4,10.0,0.9958380184850693,2.739821517797968,6.84955379449492
0.0,0.5,10.0,0.9946808636386143,4.169199645030647,8.338399290061295
0.0,0.6,10.0,0.9934455745706368,5.912722700003058,9.85453783333843
0.0,0.7000000000000001,10.0,0.9921165718391074,7.968670113694794,11.38381444813542
0.0,0.8,10.0,0.9906783848160943,10.335022850992997,12.918778563741245
0.0,0.9,10.0,0.9891156677018555,13.009415243892239,14.45490582654693
0.0,1.0,10.0,0.9874132179093955,15.989087677026518,15.989087677026518
0.0,1.1,10.0,0.9855559967705432,19.27084028795391,17.518945716321735
0.0,1.2000000000000002,10.0,0.9835291525060532,22.85098786421566,19.042489886846383
0.0,1.3000000000000003,10.0,0.9813180453927147,26.725316137895206,20.557935490688617
0.0,1.4000000000000001,10.0,0.9789082750500472,30.889039696045675,22.063599782889767
0.0,1.5000000000000002,10.0,0.9762857097579093,35.33676174176094,23.557841161173954
0.0,1.6,10.0,0.9734365177043228,40.06243595564526,25.039022472278287
0.0,1.7000000000000002,10.0,0.97034720005009,45.05933072079236,26.50548865928962
0.0,1.8000000000000003,10.0,0.9670046256834545,50.31999598590649,27.9555533255036
0.0,1.9000000000000001,10.0,0.9633960675242077,55.83623305067443,29.38749107930233
0.0,2.0,10.0,0.9595092402223991,61.599067564709735,30.799533782354867
0.0,2.1,10.0,0.9553323390822719,67.59872603612129,32.18986954101014
0.0,2.2,10.0,0.9508540800273592,73.8246161477949,33.55664370354313
0.0,2.3000000000000003,10.0,0.9460637404079733,80.26531117860706,34.89796138200307
0.0,2.4000000000000004,10.0,0.940951200437747,86.90853882281898,36.21189117617457
0.0,2.5000000000000004,10.0,0.9355069850316177,93.741174693638,37.49646987745519
0.0,2.6,10.0,0.9297223058038274,100.74924078621818,38.7497079946993
0.0,2.7,10.0,0.9235891029713439,107.91790916105376,39.96959598557546
0.0,2.8000000000000003,10.0,0.9171000868957536,115.23151109067955,41.15411110381412
0.0,2.9000000000000004,10.0,0.9102487789853346,122.67355189074284,42.30122478991132
0.0,3.0000000000000004,10.0,0.9030295516688768,130.22673163079452,43.40891054359817
0.0,3.1,10.0,0.8954376671440621,137.8729718905472,44.47515222275716
0.0,3.2,10.0,0.8874693145960568,145.59344869389417,45.49795271684193
0.0,3.3000000000000003,10.0,0.87912164557657,153.3686317157378,46.47534294416296
0.0,3.4000000000000004,10.0,0.8703928072302045,161.17832981577487,47.40539112228672
0.0,3.5000000000000004,10.0,0.8612819730536249,169.00174290898673,48.28621225971049
0.0,3.6,10.0,0.8517893708740757,176.81752013492456,49.11597781525682
0.0,3.7,10.0,0.8419163077372419,184.6038242372417,49.89292546952478
0.0,3.8000000000000003,10.0,0.8316651914005015,192.3384020116481,50.615368950433705
0.0,3.9000000000000004,10.0,0.8210395481363908,199.99866062494831,51.281707852550845
0.0,4.0,10.0,0.8100440365626839,207.56174955052327,51.89043738763082
0.0,4.1,10.0,0.7986844572299591,215.00464780704598,52.44015800171854
0.0,4.2,10.0,0.7869677577149241,222.30425612793638,52.9295847923658
0.0,4.3,10.0,0.7749020329881259,229.43749362968333,53.357556658065896
0.0,4.3999999999999995,10.0,0.7624965208479557,236.3813984883389,53.72304511098612
0.0,4.5,10.0,0.7497615922390413,243.11323207592557,54.025162683539016
0.0,4.6,10.0,0.736708736302092,249.61058595291243,54.263170859328795
0.0,4.7,10.0,0.7233505400339291,255.85149106006813,54.43648745958896
0.0,4.8,10.0,0.7097006624706258,261.81452840364767,54.5446934174266
0.0,4.9,10.0,0.6957738033431905,267.4789404827963,54.58753887404006
0.0,5.0,10.0,0.681585666193848,272.8247426680154,54.56494853360308
0.0,5.1,10.0,0.6671529159813945,277.8328337052933,54.47702621672418
0.0,5.2,10.0,0.6524931312460541,282.4851044927691,54.32405855630175
0.0,5.3,10.0,0.6376247509473665,286.7645442562606,54.106517784200115
0.0,5.4,10.0,0.6225670161325384,290.65534323727337,53.82506356245803
0.0,5.5,10.0,0.6073399066369781,294.1429910027736,53.48054381868611
0.0,5.6,10.0,0.5919640730629607,297.2143694905473,53.07399455188345
0.0,5.7,10.0,0.5764607643261174,299.8578399177651,52.60663858206405
0.0,5.8,10.0,0.5608517511021975,302.06332270372303,52.079883224779834
0.0,5.9,10.0,0.5451592455478691,303.8223695908174,51.49531687979955
0.0,6.0,10.0,0.5294058177086947,305.1282271906843,50.85470453178072
0.0,6.1,10.0,0.5136143090643637,305.9758912350357,50.15998216967799
0.0,6.2,10.0,0.4978077436953115,306.36215087284063,49.41325014078075
0.0,6.3,10.0,0.4820092375855193,306.28562242678436,48.61676546456895
0.0,6.4,10.0,0.4662419066031541,305.74677210191936,47.7729331409249
0.0,6.5,10.0,0.4505287737233442,304.7479272274569,46.88429649653183
0.0,6.6,10.0,0.4348926760753989,303.2932757079862,45.95352662242215
0.0,6.7,10.0,0.419356172409871,301.388853462142,44.9834109644988
0.0,6.8,10.0,0.40394145158869293,299.04251973385476,43.97684113733158
0.0,6.9,10.0,0.38867024270399014,296.2639202726678,42.936800039517074
0.0,7.0,10.0,0.3735637274279023,293.06443849395157,41.8663483562788
0.0,7.1,10.0,0.3586424551866968,289.4571348458584,40.7686105416702
0.0,7.2,10.0,0.3439262617376335,285.45667472613894,39.64676037863041
0.0,7.3,10.0,0.32943419170641997,281.0792454070381,38.50400622014221
0.0,7.4,10.0,0.31518442561681953,276.3424625389088,37.34357601877146
0.0,7.5,10.0,0.30119421191220214,271.2652669114581,36.16870225486108
0.0,7.6,10.0,0.28747980443180043,265.8678122541689,34.98260687554854
0.0,7.7,10.0,0.27405640576250206,260.1713449530162,33.78848635753457
0.0,7.8,10.0,0.2609381168405302,254.1980766477219,32.589497006118194
0.0,7.9,10.0,0.24813789312683127,247.97105075120484,31.388740601418334
0.0,8.0,10.0,0.23566750762589406,241.51400399939172,30.189250499923965
0.0,8.1,10.0,0.22353752096066143,234.85122419414014,28.99397829557286
0.0,8.2,10.0,0.2117572586567735,228.0074053437794,27.805781139485294
0.0,8.3,10.0,0.20033479572827256,221.0075014340074,26.62740981132619
0.0,8.4,10.0,0.18927694859478625,213.87658007604608,25.461497628100723
0.0,8.5,10.0,0.1785892742978059,206.63967727873984,24.31055026808704
0.0,8.6,10.0,0.16827607692171836,199.32165457656083,23.176936578669864
0.0,8.7,10.0,0.15834042106443938,191.94705971635483,22.062880427167222
0.0,8.8,10.0,0.1487841521435652,184.53999206243924,20.970453643459003
0.0,8.9,10.0,0.13960792326758786,177.12397382288637,19.901570092459142
0.0,9.0,10.0,0.13081122834855588,169.7218281302046,18.85798090335607
0.1,0.1,9.048374180359595,0.9989978358355941,0.3692993965361791,1.8464969826808955
0.1,0.2,9.048374180359595,0.9979807081851274,0.8481673960409657,2.827224653469885
0.1,0.30000000000000004,9.048374180359595,0.9969327137638704,1.6450428506224577,4.112607126556144
0.1,0.4,9.048374180359595,0.9958380184850693,2.7588050701242617,5.517610140248523
0.1,0.5,9.048374180359595,0.9946808636386143,4.188183197356941,6.980305328928235
0.1,0.6,9.048374180359595,0.9934455745706368,5.931706252329351,8.473866074756216
0.1,0.7000000000000001,9.048374180359595,0.9921165718391074,7.987653666021088,9.98456708252636
0.1,0.8,9.048374180359595,0.9906783848160943,10.354006403319291,11.504451559243657
0.1,0.9,9.048374180359595,0.9891156677018555,13.028398796218532,13.028398796218532
0.1,1.0,9.048374180359595,0.9874132179093955,16.00807122935281,14.552792026684372
0.1,1.1,9.048374180359595,0.9855559967705432,19.289823840280203,16.0748532002335
0.1,1.2000000000000002,9.048374180359595,0.9835291525060532,22.869971416541954,17.592285705032268
0.1,1.3000000000000003,9.048374180359595,0.9813180453927147,26.7442996902215,19.103071207301067
0.1,1.4000000000000001,9.048374180359595,0.9789082750500472,30.90802324837197,20.605348832247977
0.1,1.5000000000000002,9.048374180359595,0.9762857097579093,35.355745294087235,22.097340808804518
0.1,1.6,9.048374180359595,0.9734365177043228,40.08141950797156,23.577305592924446
0.1,1.7000000000000002,9.048374180359595,0.97034720005009,45.07831427311866,25.043507929510362
0.1,1.8000000000000003,9.048374180359595,0.9670046256834545,50.338979538232785,26.49419975696462
0.1,1.9000000000000001,9.048374180359595,0.9633960675242077,55.85521660300073,27.927608301500364
0.1,2.0,9.048374180359595,0.9595092402223991,61.61805111703603,29.34192910335049
0.1,2.1,9.048374180359595,0.9553323390822719,67.61770958844758,30.735322540203445
0.1,2.2,9.048374180359595,0.9508540800273592,73.84359970012119,32.10591291309616
0.1,2.3000000000000003,9.048374180359595,0.9460637404079733,80.28429473093335,33.45178947122223
0.1,2.4000000000000004,9.048374180359595,0.940951200437747,86.92752237514527,34.7710089500581
0.1,2.5000000000000004,9.048374180359595,0.9355069850316177,93.76015824596429,36.06159932537087
0.1,2.6,9.048374180359595,0.9297223058038274,100.76822433854447,37.32156456983128
0.1,2.7,9.048374180359595,0.9235891029713439,107.93689271338005,38.548890254778584
0.1,2.8000000000000003,9.048374180359595,0.9171000868957536,115.25049464300584,39.74154987689856
0.1,2.9000000000000004,9.048374180359595,0.9102487789853346,122.69253544306913,40.89751181435637
0.1,3.0000000000000004,9.048374180359595,0.9030295516688768,130.2457151831208,42.014746833264766
0.1,3.1,9.048374180359595,0.8954376671440621,137.8919554428735,43.09123607589797
0.1,3.2,9.048374180359595,0.8874693145960568,145.61243224622046,44.12497946855165
0.1,3.3000000000000003,9.048374180359595,0.87912164557657,153.38761526806408,45.11400449060708
0.1,3.4000000000000004,9.048374180359595,0.8703928072302045,161.19731336810116,46.0563752480289
0.1,3.5000000000000004,9.048374180359595,0.8612819730536249,169.02072646131302,46.95020179480917
0.1,3.6,9.048374180359595,0.8517893708740757,176.83650368725085,47.79364964520293
0.1,3.7,9.048374180359595,0.8419163077372419,184.622807789568,48.58494941830736
