eta_alpha2_over_2nbar_plus_1,n_rows,dual_witness_pass_fraction_10pct,max_spectral_abs_relative_error,mean_spectral_abs_relative_error,max_bures_abs_relative_error,mean_bures_abs_relative_error,max_witness_internal_abs_relative_gap,mean_witness_internal_abs_relative_gap
0.125,4,0.75,0.17929428091341437,0.04545649961218519,0.1821195940803572,0.04643931767537264,0.0034425410975413846,0.0011468404108724
0.25,4,1.0,0.09536233761791396,0.024130871372180476,0.09868573375604245,0.02496075803435655,0.0036737317893413162,0.0009413135231972998
0.5,4,1.0,0.015987742191962084,0.0045191419672063245,0.018200269941382255,0.005118732230857493,0.0022484758008490084,0.0006461468681611188
1.0,4,1.0,0.003261100909553809,0.0010581898160656837,0.00318378794023323,0.0017393849371528994,0.002529832434266148,0.0007201250843278864
2.0,4,1.0,0.009363146968292766,0.002722842597777959,0.009026478171789202,0.003217951617448912,0.002087741332364846,0.0007113344341485972
