state_idx,geom,sector,k=+e[eV],k=-e[eV],k=flip[eV]
0,A,N,-0.29186408693009014,0.0,0.4556726576372725
1,B,N,-0.4090305080901864,0.0,-0.4556726576372725
2,A,N+1,0.0,0.29186408693009014,0.33850623647717626
3,B,N+1,0.0,0.4090305080901864,-0.33850623647717626
