route,seed,opt_len,bestL_min,min_gap_pct,mean_gap_pct,hits_exact_or_rev,shots_total,invalid_mean,exact_used
0,8008135,2.5589169850170905,2.5589169850170905,0.0,0.0,27,69,0.17391304347826086,1
1,8008136,1.8180791831160827,1.8180791831160827,0.0,0.0,40,69,0.18840579710144928,1
2,8008137,1.2235411406362853,1.2235411406362853,0.0,0.0,19,69,0.3188405797101449,1
3,8008138,2.483389944890388,2.483389944890388,0.0,0.0,28,69,0.17391304347826086,1
4,8008139,1.252494251526407,1.252494251526407,0.0,0.0,23,69,0.21739130434782608,1
