record_index,map_id,family_parameter_n,variables,construction,G1,G2,G3,jacobian_determinant,preimage_1_x,preimage_1_y,preimage_1_t,preimage_2_x,preimage_2_y,preimage_2_t,preimage_3_x,preimage_3_y,preimage_3_t,collision_image_1,collision_image_2,collision_image_3,collision_multiplicity,exact_jacobian_verified,exact_collision_verified,preimages_distinct,coordinate_degrees,coordinate_term_counts,map_sha256,base_map_sha256,source_generator,scope_note,source_files
11,ACEG-T0010-d8146f8717f4,10,"(x,y,t)","G_10=T_10 o F; T_10(u,v,w)=(u+10,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 10,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,39/4,0,0,3,true,true,true,7|6|4,8|6|3,d8146f8717f485d029c8313769fbc61c6f7c1a01f7b2b9b41ce2b202a72d52bd,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
12,ACEG-T0011-995bb7366558,11,"(x,y,t)","G_11=T_11 o F; T_11(u,v,w)=(u+11,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 11,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,43/4,0,0,3,true,true,true,7|6|4,8|6|3,995bb736655836e18a20f82f70681609bc052373beabca0f33952e8772353a6b,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
13,ACEG-T0012-2d38ef1c727c,12,"(x,y,t)","G_12=T_12 o F; T_12(u,v,w)=(u+12,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 12,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,47/4,0,0,3,true,true,true,7|6|4,8|6|3,2d38ef1c727c0e101e449cd296018b14c13905f009f2d95746261a091c28612b,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
14,ACEG-T0013-006564a3d83e,13,"(x,y,t)","G_13=T_13 o F; T_13(u,v,w)=(u+13,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 13,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,51/4,0,0,3,true,true,true,7|6|4,8|6|3,006564a3d83ee394a8984ce53050c00abede926900181a10789ac166981f9d6c,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
15,ACEG-T0014-650bcd9518fc,14,"(x,y,t)","G_14=T_14 o F; T_14(u,v,w)=(u+14,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 14,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,55/4,0,0,3,true,true,true,7|6|4,8|6|3,650bcd9518fcd59702922e71dece0091aa8cdc38a1568ea4983417897bf912a5,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
16,ACEG-T0015-c4ad7f441fe9,15,"(x,y,t)","G_15=T_15 o F; T_15(u,v,w)=(u+15,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 15,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,59/4,0,0,3,true,true,true,7|6|4,8|6|3,c4ad7f441fe961e7c992e7e9fcd7a11b76b7ac094f82d9da2a3de84a9886b5fb,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
17,ACEG-T0016-aae19807a23f,16,"(x,y,t)","G_16=T_16 o F; T_16(u,v,w)=(u+16,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 16,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,63/4,0,0,3,true,true,true,7|6|4,8|6|3,aae19807a23fb95355d93de64546fd1b48cd698b22ea50f2495212f9d9d2a78b,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
18,ACEG-T0017-ecef810f3ecc,17,"(x,y,t)","G_17=T_17 o F; T_17(u,v,w)=(u+17,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 17,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,67/4,0,0,3,true,true,true,7|6|4,8|6|3,ecef810f3ecc6b28444ee2942ba08f8e75f5148ef941bc6396e98084afa98f14,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
19,ACEG-T0018-e24477c803d4,18,"(x,y,t)","G_18=T_18 o F; T_18(u,v,w)=(u+18,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 18,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,71/4,0,0,3,true,true,true,7|6|4,8|6|3,e24477c803d4d74f23ad4a92c69e85236a239ea91edab3afc3d0a9c0d12b76c6,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
20,ACEG-T0019-f415fa55c8af,19,"(x,y,t)","G_19=T_19 o F; T_19(u,v,w)=(u+19,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 19,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,75/4,0,0,3,true,true,true,7|6|4,8|6|3,f415fa55c8af18008af52b68849bb1d95a44bd92e8788b72aeff4be1dc567aac,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
